Code service CH|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||000001|21/01/2020|Vente|685,00||||B055|DHUYS|1250|NIVIGNE ET SURAN|01|95||AH|33||||||||||||0||||||J||173
|||||||000001|21/01/2020|Vente|685,00||||B155|AUX VIGNES|1250|NIVIGNE ET SURAN|01|95||G|87||||||||||||0||||||L||1507
|||||||000001|21/01/2020|Vente|685,00||||B155|AUX VIGNES|1250|NIVIGNE ET SURAN|01|95||G|92||||||||||||0||||||P||1208
|||||||000001|21/01/2020|Vente|685,00||||B141|VERS GRAY|1250|NIVIGNE ET SURAN|01|95||G|166||||||||||||0||||||BT||316
|||||||000001|21/01/2020|Vente|685,00||||B078|AUX GROBONNIERES|1250|NIVIGNE ET SURAN|01|95||G|236||||||||||||0||||||BT||2970
|||||||000001|21/01/2020|Vente|685,00||||B078|AUX GROBONNIERES|1250|NIVIGNE ET SURAN|01|95||G|237||||||||||||0||||||L||3450
|||||||000001|21/01/2020|Vente|685,00||||B078|AUX GROBONNIERES|1250|NIVIGNE ET SURAN|01|95||G|241||||||||||||0||||||L||1270
|||||||000001|21/01/2020|Vente|685,00||||B078|AUX GROBONNIERES|1250|NIVIGNE ET SURAN|01|95||G|242||||||||||||0||||||L||700
|||||||000001|21/01/2020|Vente|685,00||||B078|AUX GROBONNIERES|1250|NIVIGNE ET SURAN|01|95||G|248||||||||||||0||||||BT||1550
|||||||000001|21/01/2020|Vente|685,00||||B082|A LACHAT|1250|NIVIGNE ET SURAN|01|95||G|528||||||||||||0||||||BS||2619
|||||||000001|21/01/2020|Vente|685,00||||B141|VERS GRAY|1250|NIVIGNE ET SURAN|01|95||G|552||||||||||||0||||||P||1004
|||||||000001|21/01/2020|Vente|615,00||||B145|VERS LE CLAPAY|1250|NIVIGNE ET SURAN|01|95||ZI|31||||||||||||0||||||P||15047
|||||||000001|20/01/2020|Vente|251500,00|2494||CHE|0202|DE TANVOL|1440|VIRIAT|01|451||E|1615||||||||||||0|1|Maison||130|5|S||880
|||||||000001|20/01/2020|Vente|251500,00|2490||CHE|0202|DE TANVOL|1440|VIRIAT|01|451||E|1625||||||||||||0||||||AB||67
|||||||000001|20/01/2020|Vente|251500,00||||B130|GRAND TANVOL|1440|VIRIAT|01|451||E|1695||||||||||||0||||||AG||234
|||||||000001|16/01/2020|Vente|101300,00|86||AV|0260|DE LYON|1960|PERONNAS|01|289||AC|47||33||||||||||1|3|Dépendance||0|0|||
|||||||000001|16/01/2020|Vente|101300,00|86||AV|0260|DE LYON|1960|PERONNAS|01|289||AC|47||13|72,60|3||||||||2|2|Appartement||72|4|||
|||||||000001|21/01/2020|Vente|87720,00|323||RUE|0480|DES VAVRES|1000|SAINT-DENIS-LES-BOURG|01|344||AH|75||110||114|52,38|115||||||3|2|Appartement||56|3|||
|||||||000001|17/01/2020|Vente|280,00||||B004|AU BORRY|1570|ASNIERES-SUR-SAONE|01|23||B|181||||||||||||0||||||P||585
|||||||000001|17/01/2020|Vente|280,00||||B038|LES PAUQUIS|1570|ASNIERES-SUR-SAONE|01|23||B|248||||||||||||0||||||P||1280
|||||||000001|13/01/2020|Vente|1000,00||||B190|LES OLIVES|1380|BAGE-DOMMARTIN|01|25||C|1653||||||||||||0||||||T||531
|||||||000001|13/01/2020|Vente|1000,00||||B190|LES OLIVES|1380|BAGE-DOMMARTIN|01|25||C|1654||||||||||||0||||||T||2025
|||||||000001|13/01/2020|Vente|1000,00||||B190|LES OLIVES|1380|BAGE-DOMMARTIN|01|25||C|1655||||||||||||0||||||T||784
|||||||000001|13/01/2020|Vente|1000,00||||B190|LES OLIVES|1380|BAGE-DOMMARTIN|01|25||C|1656||||||||||||0||||||P||176
|||||||000001|13/01/2020|Vente|1000,00||||B190|LES OLIVES|1380|BAGE-DOMMARTIN|01|25||C|1657||||||||||||0||||||P||2475
